,title,genres,combined_features,index
51,Chance Pe Dance,Comedy|Drama|Music,   Chance   Pe   Dance Comedy   Drama   Music  ,51
52,Agent Vinod,Action|Adventure|Thriller,   Agent   Vinod Action   Adventure   Thriller  ,52
53,Once Upon a Time in Mumbai,Action|Crime|Drama,   Once   Upon  a   Time  in   Mumbai Action   Crime   Drama  ,53
54,Action Replay,Comedy|Romance|Sci-Fi,   Action   Replay Comedy   Romance   Sci   Fi  ,54
55,Well Done Abba!,Comedy,   Well   Done   Abba   Comedy  ,55
56,Apartment: Rent at Your Own Risk,Drama|Mystery|Thriller,   Apartment   Rent  at   Your   Own   Risk Drama   Mystery   Thriller  ,56
57,No Problem,Action|Comedy|Crime,   No   Problem Action   Comedy   Crime  ,57
58,Dhobi Ghat,Drama,   Dhobi   Ghat Drama  ,58
59,Thanks Maa,Crime|Drama,   Thanks   Maa Crime   Drama  ,59
60,Guzaarish,Drama,   Guzaarish Drama  ,60
61,Tum Milo Toh Sahi,Comedy|Drama,   Tum   Milo   Toh   Sahi Comedy   Drama  ,61
62,Peepli (Live),Comedy|Drama,   Peepli   Live   Comedy   Drama  ,62
63,Rann,Drama|Mystery|Thriller,   Rann Drama   Mystery   Thriller  ,63
64,Khatta Meetha,Comedy|Crime|Drama,   Khatta   Meetha Comedy   Crime   Drama  ,64
65,Prince,Action|Sci-Fi|Thriller,   Prince Action   Sci   Fi   Thriller  ,65
66,Happy Husbands,Comedy|Drama,   Happy   Husbands Comedy   Drama  ,66
67,Hum Tum Aur Ghost,Comedy|Drama|Fantasy,   Hum   Tum   Aur   Ghost Comedy   Drama   Fantasy  ,67
68,Road to Sangam,Drama|Thriller,   Road  to   Sangam Drama   Thriller  ,68
69,Anjaana Anjaani,Comedy|Drama|Musical,   Anjaana   Anjaani Comedy   Drama   Musical  ,69
70,Damadamm!,Comedy|Drama|Romance,   Damadamm   Comedy   Drama   Romance  ,70
71,My Friend Pinto,Comedy|Crime|Drama,   My   Friend   Pinto Comedy   Crime   Drama  ,71
72,Patiala House,Drama|Sport,   Patiala   House Drama   Sport  ,72
73,Knock Out,Action|Crime|Drama,   Knock   Out Action   Crime   Drama  ,73
74,Ra.One,Action|Adventure|Sci-Fi,   Ra   One Action   Adventure   Sci   Fi  ,74
75,Zindagi Na Milegi Dobara,Comedy|Drama,   Zindagi   Na   Milegi   Dobara Comedy   Drama  ,75
76,5 Ghantey Mien 5 Crore,Thriller,  5   Ghantey   Mien  5   Crore Thriller  ,76
